epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,425.799,1.75012,4.78101,2.11405,0,0,0,0,1.32385,5.06779,2.00246,1.665e-05,1.665e-05,1.665e-05
2,829.992,1.61191,4.67819,1.98787,0,0,0,0,1.24083,5.03993,1.88292,3.54212e-05,3.54212e-05,3.54212e-05
3,1231.08,1.51667,4.54118,1.81167,0,0,0,0,1.10433,5.01377,1.72596,5.28737e-05,5.28737e-05,5.28737e-05
4,1640.26,1.4131,4.45183,1.72919,0,0,0,0,1.02625,4.92843,1.63433,6.90076e-05,6.90076e-05,6.90076e-05
5,2052.76,1.39469,4.4854,1.75009,0,0,0,0,1.06647,4.87748,1.62281,8.38228e-05,8.38228e-05,8.38228e-05
6,2459.77,1.27294,4.20385,1.64513,0,0,0,0,1.12363,4.83234,1.64199,9.73193e-05,9.73193e-05,9.73193e-05
7,2859.22,1.30406,4.02136,1.59556,0.15307,0.23636,0.20234,0.14243,1.11896,4.75284,1.57319,0.000109497,0.000109497,0.000109497
8,3269,1.27879,4.02087,1.57705,0.07043,0.46667,0.32032,0.18868,1.09269,4.57312,1.51889,0.000120356,0.000120356,0.000120356
9,3668.95,1.20429,3.78102,1.49769,0.05015,0.57273,0.39847,0.22125,1.14847,4.28574,1.55917,0.000129897,0.000129897,0.000129897
10,4064.2,1.30421,3.63354,1.57174,0.82251,0.21455,0.42134,0.23709,1.1893,4.02917,1.62581,0.000138118,0.000138118,0.000138118
11,4455.99,1.31727,3.53536,1.57215,0.79527,0.23158,0.41976,0.24485,1.28121,3.9048,1.65543,0.000145022,0.000145022,0.000145022
12,4846.73,1.15197,3.44005,1.49577,0.75808,0.27456,0.40573,0.24355,1.35994,3.77992,1.73452,0.000150606,0.000150606,0.000150606
13,5244.83,1.21666,3.35673,1.4946,0.70742,0.32855,0.4292,0.24278,1.35687,3.54523,1.72977,0.000154872,0.000154872,0.000154872
14,5645.58,1.15751,3.27812,1.49567,0.83592,0.39773,0.49562,0.28576,1.33101,3.46255,1.71165,0.000157819,0.000157819,0.000157819
15,6056.22,1.19122,3.34188,1.50495,0.75525,0.42984,0.50059,0.29831,1.3009,3.40131,1.68004,0.000159447,0.000159447,0.000159447
16,6478.88,1.21306,3.18416,1.54116,0.73737,0.4812,0.58137,0.35487,1.2836,3.25508,1.6018,0.000159757,0.000159757,0.000159757
17,7045.42,1.17761,2.96425,1.49922,0.74754,0.60664,0.62453,0.37816,1.30576,3.11108,1.58261,0.000157176,0.000157176,0.000157176
18,7590.4,1.16516,3.05247,1.49972,0.72236,0.60128,0.67912,0.42091,1.29557,2.94074,1.57292,0.000146187,0.000146187,0.000146187
19,8135.73,1.19055,2.98002,1.46724,0.73674,0.59661,0.69234,0.4522,1.28008,2.97375,1.54992,0.000135198,0.000135198,0.000135198
20,8695.76,1.20876,2.88556,1.53632,0.56765,0.67975,0.70274,0.4433,1.29005,2.89581,1.54851,0.000124209,0.000124209,0.000124209
21,9301.17,1.08413,3.14094,1.51922,0.54724,0.68162,0.67057,0.42251,1.28565,2.91426,1.54258,0.00011322,0.00011322,0.00011322
22,9859.71,1.09968,3.11896,1.57244,0.52596,0.68747,0.66712,0.41102,1.30423,2.97218,1.56824,0.000102231,0.000102231,0.000102231
23,10412.3,1.09768,3.17602,1.547,0.55393,0.69301,0.65126,0.40414,1.28128,2.94322,1.5362,9.1242e-05,9.1242e-05,9.1242e-05
24,10975.7,1.12868,3.26633,1.612,0.59712,0.73538,0.67532,0.44033,1.20866,2.87946,1.46139,8.0253e-05,8.0253e-05,8.0253e-05
25,11489.3,1.03573,3.05744,1.50374,0.61116,0.77221,0.67742,0.44724,1.17962,2.85952,1.4402,6.9264e-05,6.9264e-05,6.9264e-05
26,11990,1.12045,3.23447,1.53687,0.51334,0.79378,0.68935,0.45816,1.14043,2.76276,1.42154,5.8275e-05,5.8275e-05,5.8275e-05
27,12504.7,1.04571,3.0644,1.46527,0.55512,0.85517,0.69086,0.46318,1.13253,2.70841,1.42605,4.7286e-05,4.7286e-05,4.7286e-05
28,13014.6,1.02008,2.9323,1.42699,0.56329,0.86447,0.70884,0.48093,1.13161,2.66071,1.43535,3.6297e-05,3.6297e-05,3.6297e-05
29,13549.3,1.02847,2.95608,1.46976,0.56795,0.86109,0.72398,0.48282,1.12587,2.63046,1.43014,2.5308e-05,2.5308e-05,2.5308e-05
30,14100.8,0.96608,2.9531,1.43286,0.5775,0.8529,0.7208,0.49086,1.10894,2.60857,1.41781,1.4319e-05,1.4319e-05,1.4319e-05
